Index,Review,Prof Rating,Course Rating,Overall Rating,Course Name
172,Inspiring person,4,-1,3,Comp 310
173,Taking this class during the one semester he was teaching it felt like a privilege.,4,-1,3,Comp 310
174,Really enjoyed the course,-1,4,3,Comp 310
175,His unconventional teaching style is a breath of fresh air at McGill. I don't think I have ever seen someone put this much effort into teaching a course. Assignments are very long and challenging but if you do them well its not hard to get a good grade in the course.,4,2,3,Comp 310
176,"Prof. Campbell is the reason why I switched into CS. He is extremely invested in his teaching, somehow manages to make lectures and assignments engaging despite the dryness of the subject. This course was challenging, but just like with 202 I feel as though I have learned a lot more from it than any other course",4,2,3,Comp 310
177,Actually the best prof at McGill!! This was my second class with him and he makes learning so fun!,4,-1,3,Comp 310
178,"What is there to say about JCC that hasn't already been shouted from the heavens? JCC is the hardest working, most caring, and downright hilarious profs I've ever had the pleasure of learning from. He will probably never teach COMP310 again, but, god damn, if he ever does, drop everything and take it with this gem of a human.",5,-1,3,Comp 310
179,"Deeply passionate professor and very effective teacher. Assignments are on point to get you to practice for the exams, exams are easy and are effective at testing understanding of the material.",4,4,4,Comp 330
180,"Great prof! Midterm and final were much easier than the homework, which we had 6 of. Personally, I loved the first half of the course (DFA's, regexp, pumping lemma, CFL's) but the last half (reductions, computability) was really hard. Everything was very fair and plus lectures are recorded.",4,3,3,Comp 330
181,"Prof Prakash is a very fair prof. He manages to convey his love for automata theory clearly and get us to understand why this subject matters, even if you're not math savvy. Seems quite harsh at first but his attitude helps to get a rigorous sense of thinking about this subject. Respectable and funny and his TAs were perfect.",4,-1,3,Comp 330
182,"Great professor, great lectures, and great assignments/exams. Just don't ask any questions or he'll get mad for some reason.",3,3,2,Comp 330
183,"Theory of computation is not an easy class, but he makes it very easy. He writes the notes in class which is amazing, and it feels more engaging rather than just going over slides. We did have 6 assignments, a midterm and a final. He told us before hand what to expect from the final and allowed a 10 page crib sheet. An overall great expereince!",4,1,3,Comp 330
184,"Overall, he's a very competent prof. Only problem is that he can be quite rude and judge people in front of everyone for asking bad questions, which is something that is only inevitable given the difficulty of the course content. This consequently made for somewhat of a hostile atmosphere. Overall, COMP 330 was fair with him though.",3,2,2,Comp 330
185,"Professor Prakash is one of the best comp sci professors at McGill, by far. He's a bit sassy, but it only makes it more interesting. His lectures are sometimes hard to follow, and the material isn't easy. But if you put in the time, you'll do fine. The assignments are really hard, but his exams are super fair. I totally recommend it!",4,3,3,Comp 330
186,"He is extremely passionate about education and it shows. He teaches in a way that sparks curiosity which makes you want to learn more on your own or from him in office hours. The material was never made more difficult than necessary, and I felt like I got a lot out of this course. Overall one of the best profs I've had.",4,3,4,Comp 330
187,"I'm super sad that Prakash is not going to teach COMP302 anymore ! if i'd knew, then i'd have taken it before ! And for COMP330, Prakash is super nice. he sometimes scream at students but i love him anywway",3,-1,3,Comp 330
188,"One of my favorite classes at McGIll. Made me think and love computer science in a way I hadn't before. He is fantastic. But he always doesn't mess around. Go to class, pay attention, don't cheat.",3,3,3,Comp 330
189,He is not decidable as well as coCE during office hours.,1,-1,1,Comp 330
190,lowkey best lecturer I had at mcgill. Lowkey amazing teacher.,4,-1,3,Comp 330
191,The best instructor so far. He takes care of students and always tries his best to deliver a clear explanation. Make sure to go to his office hours!!,4,-1,3,Comp 330
192,Cesare is a gem in the cs department. At McGill its very easy to get an instructor who very clearly does not want to teach at all or who is awful at it. He is neither. I personally found the course material very interesting but if you arent interested in it him teaching it makes it a good class to take because many courses are poorly taught.,5,3,3,Comp 330
193,He is very good even though it was only his first semester teaching the course. Assignments are difficult but he gave out many hints during OH. So make sure to go! Definitely would recommend his class.,4,3,4,Comp 330
194,"Really nice guy. Super approachable. Assignments are not easy but after going to OH + discussing with other classmates you get many different perspectives, which helps with understanding the content. On top of all this, it was his first semester teaching an entire course, and he still taught 10x better than many professors with years of experience.",5,3,4,Comp 330
195,"Absolutely amazing lecturer. Cesere has been the most approachable and engaging COMP lecturer I have had at McGill. I never thought I would enjoy the theoretical aspect of computer science but this class has been by far the most enjoyable of my degree. He holds many office hours, making sure you understand all the details. Gonna miss him next sem",5,3,4,Comp 330
196,"One of the best CS profs for sure! The assignments are a bit lengthy, but they are extremely helpful to do well on the exams, and just learning in general. He is very commited to make the class interesting, with an italian idiom every lecture and also, making sure that even students who missed a lecture have access to all the class contents. 10/10",4,-1,4,Comp 330
197,"Greatest of all time, fastest marker in the west, David Becerra-level quality CS prof. Human embodiment of that one 2009 GameFAQs guide that singlehandedly carried you through Monster Hunter Tri. Honest about what's on the exams, and provides great review material. Accept no substitute for Comp 330.",4,-1,3,Comp 330
198,honestly felt more like being tutored by a friend than a prof. he was the absolute kindess and sweetest prof i've ever had. made comp 330 bearable,4,3,4,Comp 330
199,"He gave a lot of office hours, which help a lot for the assignments. Assignments are very difficult(but prepares well for tests) so make sure to start early, but if you go to his office hours he will give a lot of hints. We did our final yesterday, and grades are already out today, which is pretty fast. His lectures are amazing!",4,2,3,Comp 330
200,"The course content is not easy, but he teaches in a way that allow students to understand very quickly. His assignments and review session are both very helpful for the final, and they are very similar to the questions in the final. So, make sure to understand them if you want to do well in the final. Definitely would recommend him.",4,2,3,Comp 330
201,Well. She curves a lot so you got probably an A.,4,-1,2,Comp 424
202,"Joelle Pineau is the best CS professor I've had at McGill. She is very professional and very clear. She does her best to explain the material and wants you to learn. She answers e-mails, doesn't look down on students and encourages everyone to participate. Though, she makes you work for it quite a bit. Expect more HMW than a normal 3 cr. course.",4,2,3,Comp 424
203,"Joelle speaks like a textbook. This is impressive but unhelpful - she often failed to simplify the material and provide concrete examples. At least half the course was pure math and probability. Her slides make it very clear what you need to know though, so watch online lectures. The AI tournament was a great project though. Very worthwhile class.",2,3,3,Comp 424
204,"Lectures can be a bit dry, but definitely go see her outside of class because she explains things very clearly then. One of the better Comp Sci profs @ McGill. The assignments can be kind of a pain though.",3,2,2,Comp 424
205,"Professor and lectures were very interesting, well organized, and easy to follow. Exams were slightly difficult, but fair. Weekly assignments required too much work for a 3-credit course, but the grading distribution allowed you to skip/not count almost half of them.",4,3,3,Comp 424
206,"AI was FUN,clear assignments, PERFECTLY structured course, fair midterm, very good slides, explains the stuff really good, know what whe is talking about, very helpfull out of the class, flexible, late assignment? she repesct your excuses, easy to follow, is an asset for McGill",4,4,4,COmp 424
207,Pretty good Prof. Course was well structured. Assignments weren't overly difficult and exams weren't too bad either as they were take homes. Lectures were decent.,4,4,4,Comp 424
208,"everytime a student has a question notice how he says yaaah, was worth going to class just to class to hear him say that, good prof all around",3,-1,2,Comp 424
209,"Jackie's an awesome dude and amazing professor. I've seen people complain that he sticks close to the lecture slide content: That's mostly because Comp 424 has so much content there's not much time to deviate from the course schedule. The final project was the coolest project I've ever done, and Jackie is a boss.",4,4,4,Comp 424
210,Basically just reads the slides made by another professor. Assignments are long and unclear. Too much material squeezed at the end of the semester. Final was fair.,2,2,2,Comp 424
211,"This is his second year teaching this course but he just read other prof's slides in the most boring tone ever ( If you think Vybihal is the most boring prof in comp sci then you should definitely check on this one ). Assignment gradings are confusing, material's heavy. GitHub is your friend.",1,1,1,Comp 424
212,"Not even halfway through the course, this guy sucks. Spends an hour and a half reading summary slides that he didn't even make. Save your time and read the textbook because he is a useless lecturer.",1,-1,0,Comp 424
213,"The most disorganized prof I've ever had. December was filled with 3 assignments while for two months of the semester, he put nothing out because ""he's working on it"". Took forever to release the project even though it's pretty much the same as last sem. This class could be better if taught by a prof who is passionate and on top of their stuff.",1,1,1,Comp 424
214,"before the final exam. For the entire first 2 months,only 2 assignments then the last 3weeks, one project one assignment 2 study report due the same week. Super disorganized, awful experience. Seems he doesn't pay attention for this course at all. Content is great, but he made it worst",1,1,1,Comp 424
215,Do not take him ! Final so difficult a lot of assignments projects at the end of the semester. Do not take him if you can avoid.,0,0,0,Comp 424
216,Just No. Do not take this class witht his prof. Spare yourself.,0,-1,1,Comp 424
217,Uninspiring lectures and very disorganized. This class would definitely be easier if it was taught by someone with more enthusiasm. The other review on December 10 sums it up pretty well.,1,1,1,Comp 424
218,"He only gave us 2 assignments to do for two whole months. Then in the final month where we have to study for finals, he posted group assignments, group project, assignmnent all at once, which I found pretty heavy. Even though it's the end of the semester, we still haven't gotten graded assignments. Lectures are pretty heavy.",0,1,1,Comp 424
219,ChatGPT can teach this course better than this guy. Probably grades faster too.,0,-1,1,Comp 424
220,"Office hours are very useful with him. Assignments are easy/fair and are directly linked to his notes. Project was graded fairly and depended on how much work you put in. Course was pretty disorganized, prof still tried his best to accommodate everyone (extensions, removing quizzes) Late grading (don't expect to get anything back in 2 weeks)",4,2,2,Comp 424
221,"COMP 303 is probably one of the few CS courses whose content I have used directly in industry. I took it with prof Guo two semester ago but she used Robillard’s material, so I would think the difficulty will be the same. It was a pretty chill course I thought. You should be fine.",-1,2,2,Comp 303
222,Comp303 is pretty straightforward class. You gotta be consistent with your studies with comp303. For difficulty level I would say it’s medium and easy to score A with ton of coding practice ( just don’t read ). This class is way different then any other 200 or 300 class. You need to practice every design pattern. It’s basically foundation of software development. Just take it seriously and code your answers and you will be fine. ROBERT def not a good teacher tbh but his book is pretty self contained. If you read a chapter a week ( 20 pages I think ) you are pretty much set for whole class. For Assignment you will have to pair with other random students next semester and you won’t have any final or midterm. You just have 10 assignments for whole sem worth 100% of your grade,2,2,2,Comp 303
223,"People say COMP 303 is both one of the most difficult and most useful classes in the standard major. I failed it twice. It's a LOT of really tricky stuff packed into a class, and the class kind of relies on the notion that youre already very good at programming. Vybz told us this at the beginning of first lecture, wish I had listened to him.",1,-1,2,Comp 303
224,"Comp 303 is a really annoying class, I heard Rob can make the assignments really vague, which was the same thing that happened with Vyb. My advice, be prepared to spend a lot of time for 303 assignments, they are not necessary hard, but you just need to keep asking for clarifications, ask a lot of questions since the material itself is really straightforward, so they make the assignments really annoying.",2,1,2,Comp 303
225,303 is a very useful class if you're looking to become a developer. The class is interesting and the course load was manageable (took it during covid so take this with a grain of salt). I took it with Guo and it was already 3 years ago though so it might be different.,-1,3,3,Comp 303
226,303 with Robillard is hard. I'd recommend 303 with Guo even though Guo might not be the best at explaining concepts.,2,2,2,Comp 303
227,"You are fine for 303. Robillard's textbook is all you need (it's a small book and explains the concepts really well). Maybe play around with Java during the break if you really want to do well, try refactoring your 250 assignments using new APIs or add abstract classes/interfaces. 302 is a different course entirely, but still useful though. It teaches you a different way of thinking about CS, while 303 is more about writing maintainable code.",-1,3,3,Comp 303
228,"Also got an A in 303. You just need to be constantly on top of it. From the minute an assignment is released till the deadline. You gotta plan, communicate and make sure ppl are on track. Many just didnt have the time or resources to do that.",2,3,3,Comp 303
229,"I would say this course is def worth taking cus it lays the foundation of software engineering. It focuses on the fundamentals of Object-Oriented Programming, which is quite important if you wanna pursue a career in CS. The prof Jin Guo, however, was below my expectation. Her lectures were deadly boring and her demo was nearly impossible to follow. Only the best kids in class could keep up with her. It's more like if you are super clever and understand the course contents well, you don't need to attend lectures at all; but if you are an average student who didn't know about the concepts at the beginning, you wouldn't be able to understand it following her lectures. I also personally hate the way she framed the course. There were no assignments but 4 lab tests and 2 exams. The course is very practical so I would love more assignment-based or project-based practices. Only by working on a real project/discussing with teammates could I understand the importance and usefulness of design patterns. However, none of them was provided. Studying COMP 303 was no different from studying a dry maths course: exams, exams, and exams. I personally don't think it should be like that. With all being said, she was a really nice and patient person. Many students seem to like her. But still, doing COMP 303 with her wasn't a good experience for me overall",2,2,2,Comp 303
230,"I took COMP303 in Fall 2020 with Jin Guo, and in my experience it's the easiest COMP class I have ever taken.As for drawbacks of this course, I guess the fact that there is no assignment counts as one problem since students get less hands-on experience, but I have to say that having only lab tests and midterm/final as assessment really makes this class much more lightweight. I didn't need to spend hours on assignments. Instead, I just spend two to three hours before each lab test doing the exercises provided and that sufficed. It really saved me time. Also note that professor Jin Guo has a relatively heavy accent and her English grammar is not all that good (though visibility improving), so I guess some students might have a hard time figuring out what she's trying to say. The TAs that evaluate the lab tests are also sometimes not that knowledgeable. I used lambda expressions during one of the lab test and the TA who evaluated me did not know what that is and I had to explain. Overall though it was a good experience.",3,4,4,Comp 303
231,"Guo is so far the best 303 prof you can have imo. I did not expect the material to be easy, but she is always happy to help you succeed. I do agree that this course is poorly designed, but it's not her fault.",4,2,3,Comp 303
232,"Class was aight, the exams weren't particularly difficult or out to get you. Most concepts are taught solely around the Java implementation which makes it not that applicable to other languages -- the ideas around them are pretty important universal though. Jin Guo is perfectly nice and helpful, but I still think this course needs to be reworked.",3,3,3,Comp 303
233,"Prof Guo isn't bad, shes just teaching a hard course and out of all the profs who teach 303 she's by far the best. Many of the lectures are not great but for a McGill COMP professor, they're very interactive. Also, she cared about the comments I made in OH. Yall could just tell her all the negative stuff to her face and shed probably try to fix it.",4,3,3,Comp 303
234,"Is it just me or this course has been a complete train wreck lately? The prof is amazing but such hard weekly assignments plus with the midterm coming and little to no leniency on the submissions is killing me. Even when I want to use the 2 free extra days, I end up not doing it because what if I get sick someday and I really need it but can't because there's no extension provided at all after you've used the two days.",4,2,3,Comp 302
235,"This particular course has been a bit hit or (mostly) miss for at least a decade. It's been taught with StandardML, Common Lisp, Scala, OCaml, Java, etc. It's actually been about programming languages and paradigms, and it's been a very long introduction to type theory with a smattering of functional programming. Since the course changes frequently and has been hijacked a couple of times, it isn't as polished as some others and little effort tends to go into making it an enjoyable course with digestible material. People throw their hands up and say things like ""students are doing badly and hate it because functional programming is just hard to learn!"" I think there's a lot of evidence against this with great examples like ""Learn You a Haskell for Great Good!"" Unfortunately, I think the best advice anybody will have is ""grin and bear it, and it'll be over soon.""",-1,2,2,Comp 302
236," HW4 was 100% fair and only q3 on HW5 was actually problematic. Prof Errington recognized this and gave us skeleton code complete w comments that pretty much traced out the answer. Is the class difficult? For sure, and the functional programming can be absolutely kind numbing sometimes. But if you spend the proper time looking at it, it is certainly doable given the class info (exception of HW5 q3 of course, which the Prof recognized before the due date and gave us substantial help).",4,3,3,Comp 302
237,"That's just how COMP302 is. It feels like a disaster because most students are actually pretty new to functional programming. But as long as you stick to it, it makes so much more sense in the end.",-1,3,3,Comp 302
238,"Im also in COMP 302. Last assignment was hard not gonna lie but this one is worse. I can't wrap my brain around it. The situation is difficult partly due to upcoming midterms. All I can say is go to office hours (that alone doesnt help, you need to think a lot on your own too.) Jacob is really nice, you should talk to him during office hours",4,2,3,Comp 302
239,"I think the issue with this course is that the prerequisites aren't strict enough. It's only comp 250 iirc and while you don't need more programming knowledge than that, you'll have a much easier time with more experience. I'm taking comp 302 this semester and as a U3 in software engineering, with some FP experience, I find it pretty easy. I've stopped going to the lectures because they were too slow for me, I instead watch them at 1.5x speed and it's much better. That said, I know some people have less experience especially with some of these FP concepts and it can be very difficult. So yeah as others said, don't hesitate to ask questions and go to office hours.",-1,3,3,Comp 302
240,"ake Errington is an amazing lecturer who explains the material well. As well, there is a class Discord where you can get pretty much immediate help on assignments. When I took it there were three 'tests' that were worth ~50% of your grade, as well as quizzes worth ~15%, assignments are worth 35%. Material is a bit different than your usual comp class, it's functional programming, but kind of interesting. Walked away with an A-.",4,4,4,Comp 302
241,difficulty depends on the prof. Took it with Pientka and it was stressful. Probably one of the most useful course there is.,2,3,3,Comp 302
242,"Class is literal garbage, and anyone trying to convince me that OCaml is great and an elegant way to code can sincerely eat my ass",-1,1,1,Comp 302
243,Took it with Pientka last semester. Absolutely destroyed my first midterm. Kept studying and ended up with B+(Had I started the last assignment earlier I probably would have got an A-). My tip was to basically rewrite all the sample code provided on the slides to a point where you can type it out with muscle memory. It's not that hard once you understood what is happening in the code. I hope it helps.,2,3,3,Comp 302
244,"I took it with Prakash a few years ago. I absolutely bombed the midterm, maybe got like 40, but did very well on the final and ended up with an A. What actually helped me a lot was to go to Prakash's office hours before the final! He took a lot of time showing us different examples, and by the end everything was super clear. Making sure you have a proper understanding of the problems is super important (kind of getting it but not really isn't helpful).",4,3,4,Comp 302
245,"I don’t like to bash profs because I sincerely believe that most of them are doing the best they can, but COMP302 with Xujie Si has been the worst taught course that I’ve taken in my two years here. The lectures are useless, I tried spending the first 3 weeks deciphering what he says but it was impossible yet I continued to go but started reading pientkas notes, the first 7 weeks of the course were fairly simple then the midterm which was graded very unfairly, made the course a bit harder but the last two assignments were so hard to the point where I spent around a week or so on both them fully dedicating my time to them. Come to the final, and it was brutal, it was very long and hard and un doable in 3 hours. People talk about how bad the course was with Pientka well I assure you with Si it’s ten times worse",1,2,2,Comp 302
246,"I found the class pretty smooth. I will say he is not the best lecturer, but I haven’t seen that many great lecturers at McGill in cs. He was extremely considerate of students giving extensions, and the material was really well presented. The assignments related directly to what was seen in class and the exams related directly to the assignments/class. I would recommend the class. Also, not to be rude or anything but I finished the final in 2h without really studying, so it was definitely doable. (It does sound rude, but there is no kind way to say this)",3,4,4,Comp 302
247,"I think it’s not Xujie Si’s fault, but the course itself is just really outdated . I ensure you Xujie was better than any other prof giving the class , you should be roasting Comp302 as a whole ( a slander I will always stand by hahaha ) , and I did horrible on this exam as well if that gives you any closure",4,2,3,Comp 302
248,"I started off hating comp 302, but since we started the more formal understanding of the language (lecture 10 and on IIRC) I completely changed 180, and am very interested in the following course. I agree he’s not always particularly understandable, or that sometimes he misses the point of a persons question. The final seemed (knock on wood) relatively easy compared to what I was expecting, or what they could have given. Definitely fair in terms of length and material covered. My current opinion on comp302 is that they should flip the course around, or integrate the more formal understanding of the language throughout the semester as opposed to at the end. I understand this way has downsides, but I was having difficulties writing let statements for a minute 🤣. Once you have the formal understanding, of why things work the way they do, it seemed to become a lot easier.",3,3,4,Comp 302
249,Funniest part is how useless the lectures were for the assignments its like they teach you how to pick apples in the lectures then expect you to make apple pie for the assignments like cool i have the apples but you didn’t teach me shit about making apple pie. Good thing stack overflow exists lmao learned more from there than from the class itself,2,2,2,Comp 302
250,"Too many assignments. You never get the time to learn the material. It's just about meeting deadlines. Class content is okay. It's just a shame that he bombards you with so many assignments. You will not get a chance to breathe unless he changes the workload for future semesters. Got a good grade, yet don't feel like I walked away with anything new",3,2,2,Comp 302
251,"Too many assignments. You never get the time to learn the material. It's just about meeting deadlines. Class content is okay. It's just a shame that he bombards you with so many assignments. You will not get a chance to breathe unless he changes the workload for future semesters. Got a good grade, yet don't feel like I walked away with anything new",3,2,2,Comp 302
252,"Great teacher, with an incredible depth of knowledge. Explain clearly and draw many parallels with other concepts. Extremely responsive and willing to help and explain further, love his teaching style. Continuously trying to improve his teaching through feedback. Course is very heavy on quiz, assignments, and tests. Be ready to work hard.",5,3,4,Comp 302
253,"An assignment per week, nightmare quizzes, 4 exams with handwritten coding. Actually 302 is a fun course, it discovers the mystery of how languages are created. However, 302 with him makes it way too heavy. And don't fill out Mercury early! He will let you do so to avoid bad reviews about his brutal final.",3,3,3,Comp 302
254,"Class was overall pretty darn good. There were a lot of assignments, projects, etc. which meant the class was always in the back of your head. However, he has taken note of that and future instances of this course will probably not be like that. Jake is a fantastic lecturer and really cares about his students -- Pro Tip: definitely go to OHs!!!!",4,4,4,Comp 302
255,"Jake's teaching style is really good. He is kind, attentive to students, and very lenient. There is also an awesome class discord, that is not only very funny, but super useful for quick access to TAs and other resources. Everything is recorded and arranged in a way to be online-attendance only friendly.",4,5,4,Comp 302
256,"Maybe this fluctuates year-to-year, but when I had 252 with devroye the *assignments* were hard but the final exam was pretty chill.",2,-1,4,Comp 252
257,"After two whole days spent on the assignment with no clue on what to do I budged and dropped the course, Prof. Devroyne also continues to not record lectures and the whole course is designed really bad",2,1,2,Comp 252
258,"Took it with Devroye in 2020, hardest class I've taken so far. So much time spent just staring at the assignment questions lol. But as others said, collaboration is absolutely crucial for both finding solutions and staying motivated. I'd recommend making sure you do zoom or in-person if you can, just texting would not be enough IMO. Thats how I stayed sane, with a good teammate and super frequent office hours for talking to other struggling teams and getting help from the very helpful TAs.",4,3,3,Comp 252
259,"I think the assignments are very challenging, but they have to be—the material itself is simply not easy. Devroye is a good professor in my opinion, but his lectures are way more enjoyable when I’ve read the textbook section beforehand",4,4,4,Comp 252
260,Really great person but his lectures can be confusing with him mumbling the end of half of his sentences. Lectures notes are golden even if they tend to complexify concepts that you can learn in a 3min ytb video. Assignments are really heavy but grading is very generous. Best of luck to anyone taking this class.,3,3,3,Comp 252
261,"Confusing lectures are remedied by amazing notes on his website and great Office Hours. My main criticism is that Luc doesn't give enough time for really long assignments; that being said, I did actually learn a lot because of the challenge. The content is hard but the grading is among the most generous I've ever experienced (both assgn and exams).",4,3,4,Comp 252
262,"The course was challenging and covered lots of materials. He went pretty fast during lectures, but answered very nicely to students' questions. His class is very interesting as long as you don't care too much about the grade. But he actually gave a big curve on the final, which was really a life saver.",4,4,4,Comp 252
263,Had a great time in his class. Assignments are hard but interesting and were graded very nicely. Plus you get partners so he really just wants you discussing the problems. Really wish I'd gone to office hours more than just once because he is great and explains everything. Final and midterm were a lot of memorization but had nice curves on them.,5,4,4,Comp 252
264,This class is a reality check. Get your stuff together if you think you are fit for honours,3,4,3,Comp 252
265,"Cursed Assignments Luc is a really chill guy, but for some reason, no matter how long he extends the deadline of his assignments, we always manages to find major error in our solution on the night before the assignment due date.",4,3,3,Comp 252
266,"He talks and writes way too fast in the lectures, and he insisted on not having lectures recorded. This makes it really difficult to follow up with his teaching throughout the class. Given that half the material covered are not seen in textbooks either, be ready to figure out everything yourself or get stuck.",2,3,2,Comp 252
267,Good professor. Attending his lectures is always fun. But he does seem to be somehow disorganized and goes through a lot of subjects without really going in any depth or telling us what is important and what is not. The way he grades the exams is not great at all. You basically get all your points or none.,3,3,3,Comp 252
268,"He draws testicle-shaped diagrams. Also, he has badass hair, and isn't afraid of ruining a shirt if it means explaining said diagrams. Great prof, very engaging and entertaining, interesting assignments and relatively nice marking!",5,4,4,Comp 252
269,"Good content but not good prof. Slides are taken from Princeton and he gets lost mid-lecture, when he's not lost he's basically reading off the slides. Assignments are tough, make sure you start them early. Grading is unclear got points taken off for not proving running time when it's not in the question. Tests are ok.",2,4,3,Comp 252
270,"Great prof. The 4 homeworks that we had were VERY heavy and difficult, took me around 2-3 days to understand the material and answer. But that's okay since they counted for 10% each. The midterm and final were fair with high averages in the 80s. His lectures and slides may be somewhat confusing, but a great prof overall. Would recommend.",4,3,4,Comp 252
271,"He is knowledgeable and answers your questions right to the point. But I still find the material confusing and challenging after he lectures. There are a lot of redundant slides in the ppt since he uses animation when presenting. The midterm was not hard, but the assignments need a quite amount of time and effort.",4,3,3,Comp 252
272,"Yep I was really looking forward to his class but it was exceptionally dry, even though the material is amazingly interesting. I found that he just read the slides he took from that MIT course. He is a really kind person though. Also dm if you want my notes, I have a modest 130 pages summary",3,4,3,Comp 252
273,"Cursed Assignments Luc is a really chill guy, but for some reason, no matter how long he extends the deadline of his assignments, we always manages to find major error in our solution on the night before the assignment due date.",4,2,3,Comp 252
274,"Great professor, lots of material but you learn a lot form him",5,4,4,Comp 252
275,Hilarious prof. If your taking 252 make sure to plan your semester as if 252 were a 5 credit course. Luc delivers a lot of material really fast. He's a great lecturer but you can't expect to retain the material lectures without going over them 2-3 times each.,5,4,4,Comp 252
276,"I think he's overrated. He's very generous about his time. but when you try to ask him a question or discuss a new approach, it's really hard to even finish your sentence because he might just tell you you're wrong before he even understands what you're saying. His first few assignments were hard because I have trouble understanding his wording.",2,3,2,Comp 252
277,"s anyone else really struggling in comp 360?? robert is an amazing prof and i feel like i understand the material in lecture, but the assignments are killing me. they seem excessively hard given how much they're worth...",5,2,3,Comp 360
278,"It's pretty much all theory. The assignments I got were brutal, but the exams were fine. I had to go through lecture notes multiple times to understand what was going on. It's an interesting course but it can be wicked difficult.",4,3,3,Comp 360
279,"Agreed that it can be very hard, but also very interesting. OP says he heard it is very theoretical, I would instead argue that it is very practical if you intend to work in a field in which the material discussed is applied. For presumably almost any kind of optimization-related work it will give you very practical and useful (but hard-earned) skills.",4,4,4,Comp 360
280,I know that at least 20% of the class has absolutely no idea what’s going on in Comp 360. I went to TA office hours yesterday and it was hard to get in the room it was so full.,4,3,3,Comp 360
281,"So far the best experience among all cs courses I have taken. Robert explains concepts clearly, and gives detailed lecture notes which are really helpful. Assignments can be somewhat hard and abstract, but his final is fair and he also gave us easy quizzes which were almost free marks.",5,4,4,Comp 360
282,"His lectures are genuinely amazing. He speaks well and his explanations are clear. He's just a really good prof, absolutely take this class with him. COMP 360 is not the easiest of classes, but if you're confused you can ask on Ed and get quick responses, and before the final he has long OHs where you can ask all your questions. 10/10",5,4,5,Comp 360
283,"Prof. Robere is without a doubt the best professor I've had at McGill. He takes his time explaining concepts, gives strong examples, and answers questions both efficiently and comprehensively. He not only uploads lecture slides, but creates typed notes to support the content which go in depth on every topic discussed.",5,4,5,Comp 360
284,"An angel prof, a breath of fresh air at McGill. He is a very good lecturer and a genuinely good person. A very understanding professor who managed to make COMP 360 a somewhat interesting class. He seems happy and his passion is a little contagious. The material is hard, but the prof wants students to succeed and makes adjustments as necessary.",5,4,5,Comp 360
285,"The course is a bit difficult and lots of work, but the Professor is awesome. Very clear and helpful, great lectures where you learn a lot. Assignments and midterm were a bit hard, but the final was very fair. Great Professor, I would recommend him for COMP 360!",4,4,4,Comp 360
286,"AWSOME Prof This guy is great at conveying material, he's concise, smart, organized, and caring He even has typed lecture notes ! One of my best profs so far",5,-1,4,Comp 360
287,"If you are thinking about taking COMP360, reconsider it and take COMP330 or 350",-1,3,3,Comp 360
288,"Despite the inherent difficulty of COMP 360, Prof. Hatami's crystal-clear lectures, well-designed assignments, and discussion board responsiveness made my experience in this course enriching and enjoyable.",4,3,4,Comp 360
289,idk why everyone is giving the prof a good rating for 360. This class was one of the worst classes Ive had McGill. I had to watch lecture recordings from other prof who taught in the past to have a clue of what is going on. The honors version of this class had easier assignments than us.,2,2,2,Comp 360
290,no exercises whatsoever. reading from the book might be more helpful than attending lectures,-1,1,1,Comp 360
291,No resources are given at all. The prof just explains simply the material but there are no tutorials or any exercises given to help with the material. He says to solve from the book but no solutions exist for the book exercises and he barely solves like 5 exercises the whole semester,2,1,1,Comp 360
292,"Incredibly well put-together lectures. He's able to break down deep topics and present them clearly to the class in an easy step-by-step manner and provides many examples. His assignments are hard, they really push your thinking. But you'll get A's if you spend enough time thinking. Midterm is very easy. Final is hard but easier than assignments.",5,4,4,Comp 360
293,"Although the course material is not easy, he made it so clear to understand. Assignments are hard but are useful for practice. Midterm is short and final is amazingly fair. The best Professor I've ever had.",5,4,5,Comp 360
294,I dropped out of honours to take him. 8/8 would do again.,5,4,5,Comp 360
295,"Hatami is honestly the best lecturer I've ever had. He's an amazing professor who teaches difficult subject matter; People say he's difficult but I would argue that the courses he teaches are difficult, and Hatami does a very good job at making them easier.",5,4,5,Comp 360
296,"Approachable and helpful prof, and the lectures were very enjoyable. He's a tough grader, but there was a significant curve.",4,3,4,Comp 360
297,"Although the course material is not easy, he made it so clear to understand. Assignments are hard but are useful for practice. Midterm is short and final is amazingly fair. The best Professor I've ever had.",5,4,5,Comp 360
298,"Hamed is a lovely person and super amazing teacher who knows his field really well. Yes, the assignments and tests are not the easiest, but if you put in the effort, the classes are very rewarding.",5,4,5,Comp 362
299,"Hey! I took COMP 360 W2023 and I'm honestly not sure why the average is a C+. We had 4 participation quizzes (he doesn't mark the content), giving a free 10%. The midterm average was quite high (~75% iirc) too. Honestly, COMP 360 is just a challenging course overall and maybe people just didn't do well on the final exam (it was a hefty 60% weight). I found Hatami to be a really good professor and helpful if you ask questions.",5,3,3,Comp 362
300,"Honestly COMP 362 is just one of those rough classes, where everyone will feel confused and perform bad on the examinations. You'll probably still pass with a curve. I took it with Devroye so idk about Hatami though",-1,2,2,Comp 362
